Unix,Date,Symbol,Open,High,Low,Close,Volume ZIL,Volume USDT,tradecount
1650499200000,2022-04-21,ZILUSDT,0.12615,0.1354,0.11221,0.11551,2291305342.3,289672596.603776,686371
1650412800000,2022-04-20,ZILUSDT,0.1117,0.1294,0.1094,0.12614,2384171031.7,286713513.739928,686518
1650326400000,2022-04-19,ZILUSDT,0.10763,0.115,0.1075,0.1117,1141144820.1,126719815.924369,334878
1650240000000,2022-04-18,ZILUSDT,0.10941,0.10991,0.10081,0.10764,843353903.6,88606859.698432,269613
1650153600000,2022-04-17,ZILUSDT,0.11034,0.1168,0.10869,0.10941,803623880.5,91076650.727573,247989
1650067200000,2022-04-16,ZILUSDT,0.11074,0.11321,0.1085,0.11035,447611099.0,49654831.083376,124708
1649980800000,2022-04-15,ZILUSDT,0.11471,0.11529,0.10806,0.11072,748260044.8,83518461.063879,263535
1649894400000,2022-04-14,ZILUSDT,0.11124,0.12735,0.10939,0.11472,2252886033.6,268014527.489623,673742
1649808000000,2022-04-13,ZILUSDT,0.10744,0.11255,0.10308,0.11123,707842058.2,76458369.930104,248076
1649721600000,2022-04-12,ZILUSDT,0.11043,0.11292,0.10361,0.10744,1046050561.2,113777608.843198,350369
1649635200000,2022-04-11,ZILUSDT,0.11908,0.13082,0.10874,0.11041,2205061019.2,268510883.893281,647713
1649548800000,2022-04-10,ZILUSDT,0.1203,0.12663,0.11693,0.11908,1012067073.9,123042003.529105,290838
1649462400000,2022-04-09,ZILUSDT,0.1202,0.12157,0.11465,0.12027,815821888.7,96301073.70382,250846
1649376000000,2022-04-08,ZILUSDT,0.13384,0.13753,0.11782,0.1202,1268019347.2,161761336.290724,406206
1649289600000,2022-04-07,ZILUSDT,0.13188,0.1364,0.12035,0.13385,1645883177.0,208448218.503815,514324
1649203200000,2022-04-06,ZILUSDT,0.12433,0.14301,0.12189,0.13195,3840159602.1,510289296.35192,1145009
1649116800000,2022-04-05,ZILUSDT,0.14108,0.14434,0.12254,0.12435,1961395938.2,262410832.852213,593564
1649030400000,2022-04-04,ZILUSDT,0.154,0.16411,0.13525,0.14105,2559205784.7,383563887.76726705,809358
1648944000000,2022-04-03,ZILUSDT,0.16669,0.17529,0.14835,0.154,2543353659.7,411544067.22449297,884718
1648857600000,2022-04-02,ZILUSDT,0.18454,0.20887,0.1629,0.16668,3155167971.4,586317517.991726,1156782
1648771200000,2022-04-01,ZILUSDT,0.17958,0.2307,0.17603,0.18452,5199857701.6,1049941077.278884,1974703
1648684800000,2022-03-31,ZILUSDT,0.18013,0.22153,0.17263,0.17958,6732946994.7,1307871115.358419,2323950
1648598400000,2022-03-30,ZILUSDT,0.1028,0.185,0.09816,0.18013,7638846978.6,1149797311.724908,2609192
1648512000000,2022-03-29,ZILUSDT,0.0993,0.1076,0.09633,0.10279,1413376441.9,143564735.702002,410929
1648425600000,2022-03-28,ZILUSDT,0.10628,0.12177,0.09744,0.09925,3278826362.0,356070165.705651,803727
1648339200000,2022-03-27,ZILUSDT,0.09523,0.12528,0.08468,0.10624,7833651465.9,807742454.6015619,1956913
1648252800000,2022-03-26,ZILUSDT,0.04786,0.097,0.04763,0.09558,3791261649.9,269867081.14109,883045
1648166400000,2022-03-25,ZILUSDT,0.04942,0.05085,0.04683,0.04787,157081875.4,7713427.561189,41680
1648080000000,2022-03-24,ZILUSDT,0.04905,0.05,0.04756,0.04944,177318021.6,8662481.108815,43358
1647993600000,2022-03-23,ZILUSDT,0.04499,0.04995,0.0448,0.04903,262709412.0,12518034.526812,61155
1647907200000,2022-03-22,ZILUSDT,0.04331,0.0475,0.0431,0.04501,237796299.2,10748676.837997,48237
1647820800000,2022-03-21,ZILUSDT,0.04264,0.04423,0.04107,0.04331,133314497.8,5718411.474343,30817
1647734400000,2022-03-20,ZILUSDT,0.04399,0.04499,0.04197,0.04266,138931851.2,6048654.515646,31198
1647648000000,2022-03-19,ZILUSDT,0.04233,0.04442,0.04227,0.044,151626425.2,6592266.756078,32684
1647561600000,2022-03-18,ZILUSDT,0.04118,0.0428,0.04024,0.04234,114490909.7,4731471.094817,24939
1647475200000,2022-03-17,ZILUSDT,0.04109,0.04244,0.04045,0.04118,101218082.5,4186273.152591,22926
1647388800000,2022-03-16,ZILUSDT,0.03981,0.04126,0.03891,0.04109,139680528.5,5586165.187381,30816
1647302400000,2022-03-15,ZILUSDT,0.03943,0.04003,0.03805,0.03983,115183354.4,4500963.827459,23735
1647216000000,2022-03-14,ZILUSDT,0.03854,0.03989,0.03803,0.03943,109424046.7,4263378.768041,23671
1647129600000,2022-03-13,ZILUSDT,0.04058,0.04142,0.03842,0.03853,110399478.2,4421481.276718,24734
1647043200000,2022-03-12,ZILUSDT,0.04057,0.04202,0.04039,0.04056,158723357.2,6545261.918896,37213
1646956800000,2022-03-11,ZILUSDT,0.04225,0.04229,0.0399,0.04057,263808564.5,10791777.012741,53105
1646870400000,2022-03-10,ZILUSDT,0.04137,0.0442,0.03913,0.04225,566412311.6,23653252.932818,113322
1646784000000,2022-03-09,ZILUSDT,0.03921,0.04215,0.03911,0.04139,205735470.7,8468795.498191,43604
1646697600000,2022-03-08,ZILUSDT,0.03792,0.03965,0.03765,0.03923,125350788.2,4864164.286751,30682
1646611200000,2022-03-07,ZILUSDT,0.03798,0.03998,0.03655,0.0379,180754839.5,6882673.786279,40128
1646524800000,2022-03-06,ZILUSDT,0.03988,0.0405,0.03778,0.03796,101236455.1,3929002.424508,22294
1646438400000,2022-03-05,ZILUSDT,0.03869,0.04019,0.03762,0.03987,81831672.9,3205668.493802,19525
1646352000000,2022-03-04,ZILUSDT,0.04196,0.04214,0.03807,0.03869,128186446.1,5156612.91893,30529
1646265600000,2022-03-03,ZILUSDT,0.04302,0.04387,0.04094,0.042,131544474.3,5574427.927009,28447
1646179200000,2022-03-02,ZILUSDT,0.04414,0.0444,0.04191,0.04301,138334235.9,5975085.46827,29209
1646092800000,2022-03-01,ZILUSDT,0.0432,0.04586,0.04297,0.04413,231699081.9,10267145.56626,46949
1646006400000,2022-02-28,ZILUSDT,0.03902,0.04326,0.03824,0.0432,134735750.4,5466286.890022,26416
1645920000000,2022-02-27,ZILUSDT,0.04103,0.04181,0.03812,0.03902,126717757.9,5072577.61047,24839
1645833600000,2022-02-26,ZILUSDT,0.0409,0.04248,0.04047,0.041,108815624.2,4488282.252116,22099
1645747200000,2022-02-25,ZILUSDT,0.03819,0.04139,0.03772,0.04092,154908077.3,6082893.966897,27265
1645660800000,2022-02-24,ZILUSDT,0.03889,0.03921,0.03317,0.03819,336569228.3,12020801.441105,60281
1645574400000,2022-02-23,ZILUSDT,0.04078,0.04224,0.03866,0.03888,143505637.3,5830949.853206,25096
1645488000000,2022-02-22,ZILUSDT,0.03956,0.04089,0.03815,0.0408,214770809.4,8496304.319557,34694
1645401600000,2022-02-21,ZILUSDT,0.04339,0.04546,0.03931,0.03958,200976273.6,8613165.234748,40826
1645315200000,2022-02-20,ZILUSDT,0.0461,0.04611,0.04267,0.0434,132604092.4,5812529.542494,27835
1645228800000,2022-02-19,ZILUSDT,0.04611,0.04709,0.04458,0.04606,88632722.5,4073814.207164,20201
1645142400000,2022-02-18,ZILUSDT,0.04656,0.0479,0.04522,0.04611,131105501.8,6087771.284866,28537
1645056000000,2022-02-17,ZILUSDT,0.05115,0.05184,0.04575,0.04654,155082575.8,7568305.534847,34238
1644969600000,2022-02-16,ZILUSDT,0.0515,0.05177,0.04923,0.05108,133700582.6,6782253.508244,29270
1644883200000,2022-02-15,ZILUSDT,0.04819,0.05156,0.04811,0.05148,114676359.0,5751609.913131,25487
1644796800000,2022-02-14,ZILUSDT,0.04769,0.04857,0.04605,0.04814,111869058.1,5300012.967888,25484
1644710400000,2022-02-13,ZILUSDT,0.04899,0.04945,0.04668,0.04768,93880368.4,4546559.16666,23078
1644624000000,2022-02-12,ZILUSDT,0.04911,0.04981,0.04667,0.04899,140920825.3,6831030.00885,32007
1644537600000,2022-02-11,ZILUSDT,0.05335,0.05456,0.04831,0.0491,189603859.5,9881978.000206,39726
1644451200000,2022-02-10,ZILUSDT,0.05705,0.05756,0.053,0.05333,178663554.3,9887427.528067,40513
1644364800000,2022-02-09,ZILUSDT,0.05547,0.0578,0.05389,0.05705,146709444.2,8189677.533301,33509
1644278400000,2022-02-08,ZILUSDT,0.05746,0.05901,0.05351,0.05545,255188772.4,14272785.979215,56362
1644192000000,2022-02-07,ZILUSDT,0.05323,0.05877,0.05191,0.05744,297498600.6,16738112.028851,72207
1644105600000,2022-02-06,ZILUSDT,0.05131,0.05356,0.05039,0.05323,194048944.6,10082108.817918,41564
1644019200000,2022-02-05,ZILUSDT,0.04988,0.05336,0.04906,0.05131,238444328.7,12196669.093983,53009
1643932800000,2022-02-04,ZILUSDT,0.04518,0.05023,0.0448,0.04989,370233416.4,17956958.462572,73760
1643846400000,2022-02-03,ZILUSDT,0.04405,0.04523,0.04265,0.04522,129876310.0,5698780.65589,25762
1643760000000,2022-02-02,ZILUSDT,0.04552,0.04711,0.04366,0.04405,147823691.1,6737656.825812,32703
1643673600000,2022-02-01,ZILUSDT,0.04488,0.04666,0.0447,0.04552,137696393.9,6288541.410271,29133
1643587200000,2022-01-31,ZILUSDT,0.04447,0.0451,0.04232,0.04487,114580547.7,5012148.395556,23170
1643500800000,2022-01-30,ZILUSDT,0.04571,0.04668,0.0437,0.04451,100328692.5,4541539.623437,22251
1643414400000,2022-01-29,ZILUSDT,0.04527,0.04637,0.04474,0.04569,106728543.8,4863029.023737,23973
1643328000000,2022-01-28,ZILUSDT,0.04406,0.04556,0.0429,0.04529,156929320.9,6938872.567552,30222
1643241600000,2022-01-27,ZILUSDT,0.04484,0.04543,0.04217,0.04411,197639757.7,8674202.439409,39122
1643155200000,2022-01-26,ZILUSDT,0.04493,0.04847,0.04355,0.04482,290965775.2,13429127.426447,62610
1643068800000,2022-01-25,ZILUSDT,0.04229,0.04656,0.04118,0.04491,326788062.6,14521790.482864,65481
1642982400000,2022-01-24,ZILUSDT,0.0443,0.04499,0.03758,0.04229,337706310.7,13463368.32692,60484
1642896000000,2022-01-23,ZILUSDT,0.04286,0.04511,0.04215,0.04436,215531476.4,9419610.857963,46000
1642809600000,2022-01-22,ZILUSDT,0.0484,0.04979,0.03947,0.04279,441107944.6,19506977.558275,84860
1642723200000,2022-01-21,ZILUSDT,0.05696,0.05798,0.04698,0.04846,289077507.2,15247439.345032,60998
1642636800000,2022-01-20,ZILUSDT,0.05911,0.0628,0.05668,0.05697,241037764.5,14417697.854056,49898
1642550400000,2022-01-19,ZILUSDT,0.0611,0.06132,0.05786,0.05911,144912544.1,8627145.239412,34267
1642464000000,2022-01-18,ZILUSDT,0.0619,0.06253,0.05976,0.06111,111326772.0,6793703.210053,29468
1642377600000,2022-01-17,ZILUSDT,0.06475,0.06496,0.06069,0.06193,146973964.8,9203438.121538,37528
1642291200000,2022-01-16,ZILUSDT,0.06536,0.06661,0.06359,0.06477,126282365.3,8232261.642265,36039
1642204800000,2022-01-15,ZILUSDT,0.06411,0.06667,0.06345,0.06537,116599569.9,7589812.072813,36174
1642118400000,2022-01-14,ZILUSDT,0.06366,0.0655,0.062,0.06411,137764704.4,8842492.17654,42980
1642032000000,2022-01-13,ZILUSDT,0.06532,0.0691,0.06342,0.06371,230651898.8,15262113.449555,60757
1641945600000,2022-01-12,ZILUSDT,0.06085,0.06663,0.06054,0.06534,180572127.4,11526077.0958,45082
1641859200000,2022-01-11,ZILUSDT,0.05891,0.06137,0.05828,0.06085,133874869.6,8019169.124432,35310
1641772800000,2022-01-10,ZILUSDT,0.062,0.06301,0.0561,0.05892,192571455.9,11405045.861479,47071
1641686400000,2022-01-09,ZILUSDT,0.06072,0.06331,0.06017,0.062,128272294.7,7912134.179613,33393
1641600000000,2022-01-08,ZILUSDT,0.06333,0.06518,0.0592,0.06073,167377830.6,10468587.488522,42809
1641513600000,2022-01-07,ZILUSDT,0.06557,0.06658,0.06011,0.06332,234145359.0,14902528.62165,64665
1641427200000,2022-01-06,ZILUSDT,0.06672,0.06724,0.0624,0.06563,189146718.6,12228177.706227,53676
1641340800000,2022-01-05,ZILUSDT,0.07109,0.0733,0.0622,0.06667,242076390.4,16757287.657574,74413
1641254400000,2022-01-04,ZILUSDT,0.07439,0.0745,0.0709,0.07112,197797575.9,14416591.042402,59426
1641168000000,2022-01-03,ZILUSDT,0.07705,0.07787,0.07317,0.07438,179049628.6,13509987.536164,56527
1641081600000,2022-01-02,ZILUSDT,0.07666,0.07795,0.07462,0.07705,164583050.7,12572812.826909,50751
1640995200000,2022-01-01,ZILUSDT,0.07468,0.07675,0.07456,0.07665,145700825.9,11038241.140629,42967
1640908800000,2021-12-31,ZILUSDT,0.07831,0.08024,0.0733,0.07471,261495451.0,20290049.016137,72888
1640822400000,2021-12-30,ZILUSDT,0.08016,0.08336,0.07534,0.07829,389224926.3,30908989.320733,113733
1640736000000,2021-12-29,ZILUSDT,0.07517,0.0822,0.07486,0.08008,477328404.7,37899141.058757,142828
1640649600000,2021-12-28,ZILUSDT,0.07915,0.08397,0.07362,0.07515,362513120.9,28314545.173475,113228
1640563200000,2021-12-27,ZILUSDT,0.0767,0.08534,0.07611,0.07915,469803447.6,38701749.539514,144374
1640476800000,2021-12-26,ZILUSDT,0.07299,0.07671,0.07074,0.07669,150129622.8,11077547.993288,56878
1640390400000,2021-12-25,ZILUSDT,0.07187,0.07415,0.07113,0.07296,113321712.2,8264810.041007,40611
1640304000000,2021-12-24,ZILUSDT,0.07306,0.07614,0.07061,0.07184,218559108.5,16151921.802086,74933
1640217600000,2021-12-23,ZILUSDT,0.06765,0.07409,0.06582,0.07305,270400495.9,18940526.891352,82581
1640131200000,2021-12-22,ZILUSDT,0.06313,0.0688,0.0631,0.06767,282571148.5,18637336.736674,79940
1640044800000,2021-12-21,ZILUSDT,0.05942,0.06525,0.05851,0.06313,158479505.6,9707306.875389,39907
1639958400000,2021-12-20,ZILUSDT,0.06082,0.06173,0.05723,0.05944,184970597.0,10952014.608725,52376
1639872000000,2021-12-19,ZILUSDT,0.06303,0.06332,0.0604,0.06084,109472345.9,6780491.620722,34654
1639785600000,2021-12-18,ZILUSDT,0.05939,0.06576,0.05853,0.06303,269815212.6,16988056.27542,71711
1639699200000,2021-12-17,ZILUSDT,0.06028,0.06156,0.05763,0.05944,125275876.9,7492175.356075,36691
1639612800000,2021-12-16,ZILUSDT,0.0621,0.06403,0.0601,0.06028,118946038.3,7450635.405269,36316
1639526400000,2021-12-15,ZILUSDT,0.06062,0.06281,0.05793,0.06208,155348849.1,9386743.19194,42035
1639440000000,2021-12-14,ZILUSDT,0.05811,0.06115,0.05698,0.06063,161866982.1,9561817.306783,44782
1639353600000,2021-12-13,ZILUSDT,0.06532,0.0658,0.0573,0.05812,178403663.6,10838961.036623,47769
1639267200000,2021-12-12,ZILUSDT,0.06536,0.06618,0.06311,0.06537,100010935.7,6482925.153072,29089
1639180800000,2021-12-11,ZILUSDT,0.06243,0.06578,0.06137,0.06534,131130197.1,8395801.243965,37911
1639094400000,2021-12-10,ZILUSDT,0.06634,0.06829,0.06211,0.06248,189512273.6,12479003.430058,54968
1639008000000,2021-12-09,ZILUSDT,0.0746,0.07498,0.06626,0.06637,175401415.8,12279874.761629,51331
1638921600000,2021-12-08,ZILUSDT,0.06943,0.07547,0.06848,0.07458,324726517.5,23413900.945968,87203
1638835200000,2021-12-07,ZILUSDT,0.0688,0.07341,0.06779,0.06945,275316689.8,19415887.553593,67328
1638748800000,2021-12-06,ZILUSDT,0.06649,0.0696,0.05995,0.06885,261979148.5,16895417.554374,73136
1638662400000,2021-12-05,ZILUSDT,0.0701,0.07109,0.06354,0.06646,252595332.0,17035920.646402,66066
1638576000000,2021-12-04,ZILUSDT,0.08189,0.08191,0.05264,0.07007,566355037.7,38752212.475094,159180
1638489600000,2021-12-03,ZILUSDT,0.0861,0.08907,0.07872,0.08185,257870882.3,21957517.491287,77097
1638403200000,2021-12-02,ZILUSDT,0.08704,0.08741,0.08357,0.08608,138770511.1,11921215.787822,46003
1638316800000,2021-12-01,ZILUSDT,0.08753,0.09,0.08572,0.08707,175021428.9,15405278.903992,64908
1638230400000,2021-11-30,ZILUSDT,0.09133,0.09219,0.08638,0.08745,210288962.2,18669082.362898,75352
1638144000000,2021-11-29,ZILUSDT,0.08383,0.0958,0.0837,0.09129,644023226.1,58615020.857932,180721
1638057600000,2021-11-28,ZILUSDT,0.08355,0.08403,0.07701,0.08386,161870487.7,13082335.735319,49256
1637971200000,2021-11-27,ZILUSDT,0.08148,0.08524,0.08114,0.08355,117326863.4,9824396.884553,37401
1637884800000,2021-11-26,ZILUSDT,0.08944,0.09036,0.07927,0.08154,263101940.1,22002548.415494,78924
1637798400000,2021-11-25,ZILUSDT,0.087,0.0909,0.0869,0.08944,171876575.3,15319707.932743,54153
1637712000000,2021-11-24,ZILUSDT,0.08997,0.09154,0.08492,0.08704,166690614.9,14634234.502755,53344
1637625600000,2021-11-23,ZILUSDT,0.08892,0.09074,0.08671,0.08996,142910419.6,12775283.916178,47660
1637539200000,2021-11-22,ZILUSDT,0.09283,0.09313,0.08768,0.08892,177103049.9,15917675.172334,54538
1637452800000,2021-11-21,ZILUSDT,0.09306,0.09485,0.09199,0.09283,127762244.6,11919574.537685,47995
1637366400000,2021-11-20,ZILUSDT,0.09139,0.09319,0.08879,0.09307,113298220.6,10392586.42004,44688
1637280000000,2021-11-19,ZILUSDT,0.08707,0.09257,0.08501,0.09141,148358296.8,13345797.362205,53186
1637193600000,2021-11-18,ZILUSDT,0.09571,0.09693,0.08454,0.08706,216573912.7,19648529.05539,73351
1637107200000,2021-11-17,ZILUSDT,0.09298,0.0966,0.09005,0.09575,207847828.1,19473390.165091,69982
1637020800000,2021-11-16,ZILUSDT,0.10165,0.10165,0.0859,0.09292,307562100.7,28894998.530555,120737
1636934400000,2021-11-15,ZILUSDT,0.10157,0.10548,0.10006,0.10165,159177081.8,16417256.557637,64335
1636848000000,2021-11-14,ZILUSDT,0.10138,0.10751,0.09884,0.10156,201903735.2,20638857.444466,73773
1636761600000,2021-11-13,ZILUSDT,0.09995,0.10241,0.09974,0.10138,125308264.4,12691062.446256,47331
1636675200000,2021-11-12,ZILUSDT,0.10277,0.10389,0.097,0.09991,163585789.9,16441441.203602,69403
1636588800000,2021-11-11,ZILUSDT,0.10209,0.10554,0.10036,0.10265,184058023.4,19011139.02841,74786
1636502400000,2021-11-10,ZILUSDT,0.11273,0.11296,0.09546,0.1021,340608040.2,36459365.54427,137730
1636416000000,2021-11-09,ZILUSDT,0.11151,0.11569,0.10965,0.11272,289281400.8,32436429.347663,107348
1636329600000,2021-11-08,ZILUSDT,0.10914,0.11233,0.10501,0.11153,208689706.0,22790277.824174,74520
1636243200000,2021-11-07,ZILUSDT,0.10737,0.11072,0.10711,0.10915,127668969.8,13935912.529976,51325
1636156800000,2021-11-06,ZILUSDT,0.10843,0.11103,0.10367,0.10749,167478894.3,17937124.43906,63273
1636070400000,2021-11-05,ZILUSDT,0.10895,0.113,0.10693,0.10843,231676876.6,25455213.236995,88346
1635984000000,2021-11-04,ZILUSDT,0.10955,0.113,0.10534,0.10895,223530382.0,24383174.043416,89031
1635897600000,2021-11-03,ZILUSDT,0.11459,0.11484,0.106,0.10966,232896207.1,25599256.286222,90734
1635811200000,2021-11-02,ZILUSDT,0.11241,0.11667,0.10989,0.11457,259543692.5,29549247.552368,99689
1635724800000,2021-11-01,ZILUSDT,0.11245,0.11286,0.10404,0.11241,267292363.6,29330937.567223,117388
1635638400000,2021-10-31,ZILUSDT,0.10176,0.125,0.10133,0.11233,1051701018.0,120247977.137892,393824
1635552000000,2021-10-30,ZILUSDT,0.10119,0.10389,0.09758,0.10161,208015406.8,20884643.088464,76557
1635465600000,2021-10-29,ZILUSDT,0.09825,0.10249,0.09752,0.10116,166463179.3,16768170.087196,59227
1635379200000,2021-10-28,ZILUSDT,0.09351,0.10128,0.09339,0.09823,222628594.7,21747785.431332,80258
1635292800000,2021-10-27,ZILUSDT,0.1069,0.11052,0.09,0.09348,370584047.7,36449156.767633,128606
1635206400000,2021-10-26,ZILUSDT,0.11068,0.1125,0.1055,0.10685,222346656.0,24460712.384865,74326
1635120000000,2021-10-25,ZILUSDT,0.10186,0.11408,0.10142,0.11068,332882732.5,36357602.266887,115184
1635033600000,2021-10-24,ZILUSDT,0.10325,0.10669,0.0995,0.10185,225687323.4,23280777.991629,80377
1634947200000,2021-10-23,ZILUSDT,0.1018,0.10587,0.10004,0.10325,269348652.3,27766751.928188,86776
1634860800000,2021-10-22,ZILUSDT,0.09457,0.10433,0.09383,0.10179,374157334.5,37556101.196464,111840
1634774400000,2021-10-21,ZILUSDT,0.09584,0.10077,0.09316,0.09451,231817586.4,22522004.978914,78838
1634688000000,2021-10-20,ZILUSDT,0.09152,0.0965,0.09069,0.09582,134019915.4,12595479.891794,43362
1634601600000,2021-10-19,ZILUSDT,0.09313,0.09399,0.09,0.09154,127187441.5,11714845.72717,37378
1634515200000,2021-10-18,ZILUSDT,0.09388,0.09455,0.09077,0.09316,111401824.1,10390813.105662,37566
1634428800000,2021-10-17,ZILUSDT,0.0975,0.09818,0.09056,0.09391,135777889.8,12938943.27932,45830
1634342400000,2021-10-16,ZILUSDT,0.09633,0.1005,0.09517,0.0975,192511911.7,18916665.836188,66628
1634256000000,2021-10-15,ZILUSDT,0.09864,0.1,0.09231,0.09633,257557703.2,24831871.645499,80954
1634169600000,2021-10-14,ZILUSDT,0.09422,0.09922,0.09363,0.09864,157101250.4,15233560.130446,56409
1634083200000,2021-10-13,ZILUSDT,0.0915,0.09535,0.08949,0.09421,141595959.6,13025977.626877,47494
1633996800000,2021-10-12,ZILUSDT,0.09435,0.0944,0.08644,0.0915,172519213.8,15513863.194145,53274
1633910400000,2021-10-11,ZILUSDT,0.09553,0.09915,0.09155,0.09435,140382270.1,13430272.453604,44526
1633824000000,2021-10-10,ZILUSDT,0.10299,0.10306,0.09508,0.09558,139508081.5,13931570.359182,46648
1633737600000,2021-10-09,ZILUSDT,0.09996,0.10764,0.09902,0.10296,208717781.2,21633850.365244,71001
1633651200000,2021-10-08,ZILUSDT,0.09838,0.1028,0.09761,0.09996,203283414.8,20476024.173293,69633
1633564800000,2021-10-07,ZILUSDT,0.09872,0.1,0.095,0.09837,199134154.2,19384471.454152,60940
1633478400000,2021-10-06,ZILUSDT,0.10316,0.10348,0.09356,0.09872,311661211.9,30718148.77893,93727
1633392000000,2021-10-05,ZILUSDT,0.09699,0.1077,0.09625,0.10311,349085541.2,35719565.701495,108571
1633305600000,2021-10-04,ZILUSDT,0.09964,0.1017,0.09454,0.09699,214916198.5,21031713.371295,76478
1633219200000,2021-10-03,ZILUSDT,0.09643,0.10314,0.09429,0.09962,200924790.6,20039996.772886,67572
1633132800000,2021-10-02,ZILUSDT,0.09465,0.10198,0.09303,0.0964,258138529.4,25406014.382561,77736
1633046400000,2021-10-01,ZILUSDT,0.08579,0.09585,0.08414,0.09464,312314024.8,28524266.541335,90578
1632960000000,2021-09-30,ZILUSDT,0.08256,0.08962,0.08231,0.08577,344419125.8,29662441.244708,92776
1632873600000,2021-09-29,ZILUSDT,0.0752,0.08535,0.07465,0.08253,362676081.3,29525343.506993,79276
1632787200000,2021-09-28,ZILUSDT,0.07937,0.08039,0.07489,0.07531,165395729.2,12832946.432183,42981
1632700800000,2021-09-27,ZILUSDT,0.08342,0.08575,0.07911,0.07937,135840228.5,11232192.457651,40541
1632614400000,2021-09-26,ZILUSDT,0.08393,0.08459,0.0765,0.08351,166189132.5,13584580.331275,43877
1632528000000,2021-09-25,ZILUSDT,0.0849,0.0935,0.08155,0.08402,153900412.1,12981433.206419,43715
1632441600000,2021-09-24,ZILUSDT,0.09305,0.09342,0.07928,0.08492,199496399.8,17008884.566422,58482
1632355200000,2021-09-23,ZILUSDT,0.09194,0.09669,0.08843,0.09304,181085647.6,16590840.963199,51628
1632268800000,2021-09-22,ZILUSDT,0.08086,0.09229,0.0789,0.09197,156113285.5,13427848.869181,43756
1632182400000,2021-09-21,ZILUSDT,0.08707,0.09174,0.07827,0.08071,246348738.8,21098232.919699,61342
1632096000000,2021-09-20,ZILUSDT,0.10248,0.10269,0.08428,0.08708,292029748.4,26695140.96657,79995
1632009600000,2021-09-19,ZILUSDT,0.10833,0.10858,0.1008,0.10252,90973722.1,9561413.456713,37801
1631923200000,2021-09-18,ZILUSDT,0.10767,0.11151,0.10583,0.10832,106982395.0,11673937.660877,34567
1631836800000,2021-09-17,ZILUSDT,0.1119,0.11686,0.10569,0.10767,266146164.4,29721116.187486,81176
1631750400000,2021-09-16,ZILUSDT,0.11127,0.1162,0.10714,0.11191,273517056.0,30792954.701367,100515
1631664000000,2021-09-15,ZILUSDT,0.10668,0.11262,0.10457,0.11123,198007130.6,21563866.53744,66623
1631577600000,2021-09-14,ZILUSDT,0.10253,0.10719,0.10074,0.10679,174350593.1,18135188.850983,52414
1631491200000,2021-09-13,ZILUSDT,0.11195,0.1139,0.09623,0.10256,289228917.9,29767210.28592,96358
1631404800000,2021-09-12,ZILUSDT,0.10696,0.11299,0.10429,0.11178,229914729.4,25061113.81623,70480
1631318400000,2021-09-11,ZILUSDT,0.10636,0.1119,0.10412,0.10696,228714414.5,24710657.843434,69585
