Unix,Date,Symbol,Open,High,Low,Close,Volume WAVES,Volume USDT,tradecount
1676851200000,2023-02-20,WAVESUSDT,3.093,3.385,2.918,2.991,22136351.81,69395571.86021,211293
1676764800000,2023-02-19,WAVESUSDT,2.622,3.178,2.564,3.094,13953814.02,39728250.83248,123300
1676678400000,2023-02-18,WAVESUSDT,2.628,2.694,2.587,2.621,2617608.88,6903781.96157,27217
1676592000000,2023-02-17,WAVESUSDT,2.427,2.686,2.425,2.628,5059095.96,12973274.0267,44733
1676505600000,2023-02-16,WAVESUSDT,2.592,2.739,2.417,2.427,5841737.8,15133111.24639,59058
1676419200000,2023-02-15,WAVESUSDT,2.428,2.604,2.37,2.592,3024052.28,7453765.62465,31832
1676332800000,2023-02-14,WAVESUSDT,2.293,2.437,2.26,2.429,3240956.2,7588707.71109,36932
1676246400000,2023-02-13,WAVESUSDT,2.376,2.416,2.196,2.293,3375350.53,7728853.30014,37955
1676160000000,2023-02-12,WAVESUSDT,2.422,2.469,2.311,2.375,2088514.33,5016533.98724,20024
1676073600000,2023-02-11,WAVESUSDT,2.341,2.433,2.326,2.423,2515678.87,6006586.57849,24512
1675987200000,2023-02-10,WAVESUSDT,2.324,2.405,2.263,2.341,4356271.35,10186202.95421,42877
1675900800000,2023-02-09,WAVESUSDT,2.72,2.768,2.235,2.323,5851896.12,14848681.62699,59362
1675814400000,2023-02-08,WAVESUSDT,2.827,2.859,2.614,2.719,3649102.36,10039480.86645,35161
1675728000000,2023-02-07,WAVESUSDT,2.664,2.846,2.647,2.826,4821971.13,13252906.77615,44036
1675641600000,2023-02-06,WAVESUSDT,2.667,2.761,2.596,2.663,4848879.01,12957013.94909,42374
1675555200000,2023-02-05,WAVESUSDT,2.833,2.908,2.522,2.666,7436105.55,20504147.89338,61774
1675468800000,2023-02-04,WAVESUSDT,2.898,2.94,2.808,2.831,6856467.92,19649906.49377,59976
1675382400000,2023-02-03,WAVESUSDT,2.582,3.064,2.529,2.899,18867180.11,53788808.44597,145974
1675296000000,2023-02-02,WAVESUSDT,2.6,2.697,2.553,2.58,4755743.07,12504816.90442,41255
1675209600000,2023-02-01,WAVESUSDT,2.479,2.626,2.344,2.599,6129369.95,15182406.96246,52774
1675123200000,2023-01-31,WAVESUSDT,2.45,2.565,2.411,2.48,4465372.23,11071657.91599,41246
1675036800000,2023-01-30,WAVESUSDT,2.719,2.754,2.381,2.451,6814425.38,17416939.02169,62689
1674950400000,2023-01-29,WAVESUSDT,2.692,2.758,2.648,2.717,6541722.43,17714308.17126,58278
1674864000000,2023-01-28,WAVESUSDT,2.655,2.976,2.63,2.692,13283493.03,37064273.89203,129387
1674777600000,2023-01-27,WAVESUSDT,2.401,2.868,2.315,2.654,24825496.49,65743505.14001,225385
1674691200000,2023-01-26,WAVESUSDT,2.279,2.515,2.235,2.4,6799571.45,15932113.06289,57586
1674604800000,2023-01-25,WAVESUSDT,2.176,2.337,2.139,2.278,4858704.21,10687227.32397,43006
1674518400000,2023-01-24,WAVESUSDT,2.354,2.46,2.093,2.175,7037667.49,16465857.36142,57514
1674432000000,2023-01-23,WAVESUSDT,2.272,2.53,2.26,2.354,8831474.98,20852108.35341,72344
1674345600000,2023-01-22,WAVESUSDT,2.233,2.38,2.201,2.274,6914862.28,15786591.38691,60359
1674259200000,2023-01-21,WAVESUSDT,2.304,2.384,2.21,2.231,8327953.07,19154954.97626,63741
1674172800000,2023-01-20,WAVESUSDT,2.097,2.33,2.057,2.304,5406190.53,11649489.13473,48433
1674086400000,2023-01-19,WAVESUSDT,2.072,2.203,2.033,2.097,5711835.91,12004068.71179,47643
1674000000000,2023-01-18,WAVESUSDT,2.232,2.295,1.925,2.074,8453965.51,18008477.53441,75281
1673913600000,2023-01-17,WAVESUSDT,2.367,2.413,2.231,2.233,6756988.17,15664249.53519,55441
1673827200000,2023-01-16,WAVESUSDT,2.327,2.584,2.183,2.366,12820522.48,30563705.88047,98997
1673740800000,2023-01-15,WAVESUSDT,2.16,2.549,2.092,2.327,23366981.02,55001318.38827,191103
1673654400000,2023-01-14,WAVESUSDT,1.824,2.259,1.81,2.159,20150371.79,41284760.92726,153400
1673568000000,2023-01-13,WAVESUSDT,1.744,1.838,1.702,1.822,6880908.02,12183825.85791,41309
1673481600000,2023-01-12,WAVESUSDT,1.614,1.844,1.592,1.743,15949574.56,27561271.27229,93928
1673395200000,2023-01-11,WAVESUSDT,1.594,1.618,1.509,1.614,2988082.19,4651115.15946,17389
1673308800000,2023-01-10,WAVESUSDT,1.579,1.695,1.536,1.594,5887005.62,9406574.71251,30901
1673222400000,2023-01-09,WAVESUSDT,1.522,1.668,1.481,1.578,9645454.84,15169217.08574,49457
1673136000000,2023-01-08,WAVESUSDT,1.405,1.539,1.375,1.521,3346837.48,4852496.83304,16910
1673049600000,2023-01-07,WAVESUSDT,1.411,1.433,1.395,1.405,1273133.6,1795211.73381,6869
1672963200000,2023-01-06,WAVESUSDT,1.395,1.417,1.354,1.411,2438415.34,3374274.68893,12793
1672876800000,2023-01-05,WAVESUSDT,1.402,1.429,1.365,1.394,2165556.26,3027970.94076,12330
1672790400000,2023-01-04,WAVESUSDT,1.337,1.437,1.33,1.402,4808953.63,6768655.05512,24209
1672704000000,2023-01-03,WAVESUSDT,1.336,1.355,1.314,1.337,2101481.86,2801797.67349,10457
1672617600000,2023-01-02,WAVESUSDT,1.308,1.352,1.27,1.335,3378062.21,4463359.96085,15015
1672531200000,2023-01-01,WAVESUSDT,1.308,1.314,1.279,1.308,1482243.92,1917985.73545,8074
1672444800000,2022-12-31,WAVESUSDT,1.312,1.385,1.297,1.31,2725967.69,3612077.64852,15099
1672358400000,2022-12-30,WAVESUSDT,1.331,1.468,1.25,1.312,3179414.28,4100336.80541,19724
1672272000000,2022-12-29,WAVESUSDT,1.389,1.393,1.271,1.332,2864698.18,3821814.83284,18788
1672185600000,2022-12-28,WAVESUSDT,1.53,1.546,1.368,1.389,4169872.58,5966165.43904,22280
1672099200000,2022-12-27,WAVESUSDT,1.547,1.555,1.492,1.529,2574611.93,3934346.64305,13417
1672012800000,2022-12-26,WAVESUSDT,1.565,1.575,1.526,1.548,2102521.37,3260894.89188,12364
1671926400000,2022-12-25,WAVESUSDT,1.594,1.596,1.537,1.564,2836763.97,4440235.93172,15413
1671840000000,2022-12-24,WAVESUSDT,1.608,1.636,1.583,1.594,2132690.67,3424313.87316,14680
1671753600000,2022-12-23,WAVESUSDT,1.577,1.625,1.538,1.608,3282978.16,5200053.67953,19964
1671667200000,2022-12-22,WAVESUSDT,1.53,1.63,1.477,1.577,5883994.28,9218487.63833,44787
1671580800000,2022-12-21,WAVESUSDT,1.581,1.628,1.487,1.532,2895091.07,4441591.56829,28523
1671494400000,2022-12-20,WAVESUSDT,1.484,1.641,1.478,1.583,3765216.73,5922278.2127,32001
1671408000000,2022-12-19,WAVESUSDT,1.52,1.615,1.443,1.484,3272025.8,5021403.20948,33210
1671321600000,2022-12-18,WAVESUSDT,1.589,1.606,1.494,1.519,2580138.99,3963433.15937,20828
1671235200000,2022-12-17,WAVESUSDT,1.535,1.683,1.447,1.59,4758779.93,7440749.60608,38489
1671148800000,2022-12-16,WAVESUSDT,1.742,1.766,1.5,1.535,6144232.86,10216973.386424,51337
1671062400000,2022-12-15,WAVESUSDT,1.782,1.825,1.719,1.742,3672312.62,6466566.90244,28565
1670976000000,2022-12-14,WAVESUSDT,1.846,1.91,1.715,1.782,5601077.24,10258700.80638,44428
1670889600000,2022-12-13,WAVESUSDT,1.835,1.939,1.661,1.847,9056739.21,15992258.22453,70399
1670803200000,2022-12-12,WAVESUSDT,1.933,1.965,1.757,1.834,6051978.23,11020274.75555,48110
1670716800000,2022-12-11,WAVESUSDT,2.024,2.063,1.905,1.934,2806396.59,5574218.797,24972
1670630400000,2022-12-10,WAVESUSDT,2.081,2.081,2.009,2.025,2909480.69,5939223.2789,24321
1670544000000,2022-12-09,WAVESUSDT,2.173,2.173,2.027,2.081,7957040.29,16555282.95248,68650
1670457600000,2022-12-08,WAVESUSDT,2.332,2.4,1.957,2.174,21475998.37,45114746.82236,190176
1670371200000,2022-12-07,WAVESUSDT,2.49,2.525,2.272,2.332,4565408.48,10784056.86969,36689
1670284800000,2022-12-06,WAVESUSDT,2.385,2.562,2.371,2.49,8067738.13,19958208.79433,66495
1670198400000,2022-12-05,WAVESUSDT,2.344,2.565,2.336,2.386,6218180.71,15183457.10577,52902
1670112000000,2022-12-04,WAVESUSDT,2.314,2.36,2.285,2.344,3544306.89,8220633.69331,24776
1670025600000,2022-12-03,WAVESUSDT,2.394,2.424,2.293,2.314,4489934.33,10690874.6502,28238
1669939200000,2022-12-02,WAVESUSDT,2.344,2.457,2.327,2.393,3690676.17,8778324.52132,33947
1669852800000,2022-12-01,WAVESUSDT,2.377,2.389,2.311,2.344,2453439.19,5756699.35849,21849
1669766400000,2022-11-30,WAVESUSDT,2.32,2.399,2.28,2.379,4155321.15,9761944.81669,34325
1669680000000,2022-11-29,WAVESUSDT,2.328,2.381,2.236,2.319,5440128.59,12590720.39507,44215
1669593600000,2022-11-28,WAVESUSDT,2.276,2.423,2.231,2.329,9675431.23,22659942.44777,94393
1669507200000,2022-11-27,WAVESUSDT,2.2,2.481,2.189,2.276,9930178.86,23524173.86762,91770
1669420800000,2022-11-26,WAVESUSDT,2.195,2.263,2.174,2.199,2440712.04,5424672.62607,19084
1669334400000,2022-11-25,WAVESUSDT,2.231,2.231,2.153,2.195,1997698.94,4374165.3138,16632
1669248000000,2022-11-24,WAVESUSDT,2.261,2.285,2.182,2.233,3306124.43,7368604.93874,31285
1669161600000,2022-11-23,WAVESUSDT,2.198,2.268,2.168,2.259,2866367.5,6376946.46563,28392
1669075200000,2022-11-22,WAVESUSDT,2.133,2.199,2.036,2.198,2623670.85,5574581.93641,25244
1668988800000,2022-11-21,WAVESUSDT,2.155,2.218,2.06,2.134,3922827.75,8425721.98909,39793
1668902400000,2022-11-20,WAVESUSDT,2.354,2.42,2.144,2.155,2706891.35,6194012.27961,27663
