Unix,Date,Symbol,Open,High,Low,Close,Volume HOT,Volume USDT,tradecount
1628553600000,2021-08-10,HOTUSDT,0.008532,0.00985,0.008441,0.009772,7110865400.0,65188695.533547,199988
1628467200000,2021-08-09,HOTUSDT,0.00815,0.00877,0.007916,0.008541,5070962123.0,42720339.616626,127564
1628380800000,2021-08-08,HOTUSDT,0.007852,0.00895,0.007586,0.008157,7944511585.0,66593242.146615,213048
1628294400000,2021-08-07,HOTUSDT,0.007855,0.008285,0.0073,0.007848,6468919442.0,50843572.630725,156990
1628208000000,2021-08-06,HOTUSDT,0.006528,0.00849,0.006396,0.007851,10965426767.0,83059181.38837,233710
1628121600000,2021-08-05,HOTUSDT,0.006383,0.00659,0.006202,0.006532,2389852404.0,15378939.198133,52456
1628035200000,2021-08-04,HOTUSDT,0.006142,0.006414,0.006068,0.006376,1708391330.0,10704348.797277,35140
1627948800000,2021-08-03,HOTUSDT,0.006225,0.006297,0.006022,0.006138,1424988552.0,8738620.541853,30501
1627862400000,2021-08-02,HOTUSDT,0.006226,0.006397,0.00614,0.006227,1408897842.0,8835402.194511,30841
1627776000000,2021-08-01,HOTUSDT,0.006307,0.00667,0.006129,0.006225,2912040503.0,18755909.894471,63867
1627689600000,2021-07-31,HOTUSDT,0.006373,0.006443,0.00621,0.006315,1957715901.0,12399918.62128,39918
1627603200000,2021-07-30,HOTUSDT,0.006244,0.006383,0.005932,0.006373,2134891303.0,13093700.890332,46506
1627516800000,2021-07-29,HOTUSDT,0.006214,0.00642,0.00608,0.006245,2184639548.0,13607001.576794,48071
1627430400000,2021-07-28,HOTUSDT,0.006314,0.006436,0.00606,0.006218,3206461739.0,19990004.778052,59435
1627344000000,2021-07-27,HOTUSDT,0.005926,0.006534,0.005591,0.006306,5352603532.0,32487363.320629,102782
1627257600000,2021-07-26,HOTUSDT,0.005339,0.006699,0.005283,0.005932,9230710821.0,56350967.339267,197373
1627171200000,2021-07-25,HOTUSDT,0.005201,0.005341,0.005045,0.005339,2070111246.0,10706769.180171,32831
1627084800000,2021-07-24,HOTUSDT,0.005155,0.005445,0.005031,0.005202,2753818224.0,14289101.197137,49431
1626998400000,2021-07-23,HOTUSDT,0.004893,0.005191,0.004753,0.005155,1720521800.0,8480530.215958,31602
1626912000000,2021-07-22,HOTUSDT,0.004784,0.004984,0.004691,0.004895,1538513501.0,7445079.139593,30028
1626825600000,2021-07-21,HOTUSDT,0.004457,0.004937,0.00433,0.004785,2417540854.0,11362025.227472,35854
1626739200000,2021-07-20,HOTUSDT,0.004799,0.004887,0.004354,0.004455,3513581521.0,15945284.4762231,40311
1626652800000,2021-07-19,HOTUSDT,0.005113,0.005138,0.00475,0.004795,1676059147.0,8241770.321765,26784
1626566400000,2021-07-18,HOTUSDT,0.005169,0.005295,0.005044,0.005114,1548825886.0,7997529.386051,24156
1626480000000,2021-07-17,HOTUSDT,0.005014,0.005565,0.004955,0.005169,2866697539.0,14995404.217291,36053
1626393600000,2021-07-16,HOTUSDT,0.005242,0.005393,0.004994,0.005015,1778753479.0,9162695.229096,28758
